Row No.,Passenger Class,Name,Sex,Age,No of Sibilings or Spouses on Board,No of Partners or Childern on Board,Ticket Number,Passenger Fare,Cabin,Port of Embarkation,Life Boat,Survived
1,First,"Allen, Miss. Elisabeth Walton",Female,29,0,0,24160,211.3375,B5,Southampton,2,Yes
2,First,"Allison, Master. Hudson Trevor",Male,0.9167,1,2,113781,151.55,C22 C26,Southampton,11,Yes
3,First,"Allison, Miss. Helen Loraine",Female,2,1,2,113781,151.55,C22 C26,Southampton,?,No
4,First,"Allison, Mr. Hudson Joshua Creighton",Male,30,1,2,113781,151.55,C22 C26,Southampton,?,No
5,First,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",Female,25,1,2,113781,151.55,C22 C26,Southampton,?,No
6,First,"Anderson, Mr. Harry",Male,48,0,0,19952,26.55,E12,Southampton,3,Yes
7,First,"Andrews, Miss. Kornelia Theodosia",Female,63,1,0,13502,77.9583,D7,Southampton,10,Yes
8,First,"Andrews, Mr. Thomas Jr",Male,39,0,0,112050,0,A36,Southampton,?,No
9,First,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",Female,53,2,0,11769,51.4792,C101,Southampton,D,Yes
10,First,"Artagaveytia, Mr. Ramon",Male,71,0,0,PC 17609,49.5042,?,Cherbourg,?,No
11,First,"Astor, Col. John Jacob",Male,47,1,0,PC 17757,227.525,C62 C64,Cherbourg,?,No
12,First,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",Female,18,1,0,PC 17757,227.525,C62 C64,Cherbourg,4,Yes
13,First,"Aubart, Mme. Leontine Pauline",Female,24,0,0,PC 17477,69.3,B35,Cherbourg,9,Yes
14,First,"Barber, Miss. Ellen ""Nellie""",Female,26,0,0,19877,78.85,?,Southampton,6,Yes
15,First,"Barkworth, Mr. Algernon Henry Wilson",Male,80,0,0,27042,30,A23,Southampton,B,Yes
16,First,"Baumann, Mr. John D",Male,?,0,0,PC 17318,25.925,?,Southampton,?,No
17,First,"Baxter, Mr. Quigg Edmond",Male,24,0,1,PC 17558,247.5208,B58 B60,Cherbourg,?,No
18,First,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",Female,50,0,1,PC 17558,247.5208,B58 B60,Cherbourg,6,Yes
19,First,"Bazzani, Miss. Albina",Female,32,0,0,11813,76.2917,D15,Cherbourg,8,Yes
20,First,"Beattie, Mr. Thomson",Male,36,0,0,13050,75.2417,C6,Cherbourg,A,No
21,First,"Beckwith, Mr. Richard Leonard",Male,37,1,1,11751,52.5542,D35,Southampton,5,Yes
22,First,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",Female,47,1,1,11751,52.5542,D35,Southampton,5,Yes
23,First,"Behr, Mr. Karl Howell",Male,26,0,0,111369,30,C148,Cherbourg,5,Yes
24,First,"Bidois, Miss. Rosalie",Female,42,0,0,PC 17757,227.525,?,Cherbourg,4,Yes
25,First,"Bird, Miss. Ellen",Female,29,0,0,PC 17483,221.7792,C97,Southampton,8,Yes
26,First,"Birnbaum, Mr. Jakob",Male,25,0,0,13905,26,?,Cherbourg,?,No
27,First,"Bishop, Mr. Dickinson H",Male,25,1,0,11967,91.0792,B49,Cherbourg,7,Yes
